,SalePrice
0,102771.1883468628
1,172580.64502716064
2,182144.20671081543
3,183285.90705871582
4,220059.3791732788
5,161559.42520141602
6,163898.7477722168
7,155017.44932556152
8,215442.99912261963
9,112678.93254089355
10,173693.01624298096
11,85893.33041381836
12,84197.96266937256
13,138545.3450164795
14,70595.67263031006
15,353250.6891479492
16,271380.38119506836
17,304653.56508636475
18,323347.3695755005
19,416752.4655685425
20,342268.7701950073
21,233071.6537246704
22,187658.31951904297
23,161838.22214508057
24,209943.1950378418
25,202567.6831665039
26,347130.6430206299
27,248670.34809875488
28,213658.40005493164
29,253172.2661972046
30,208341.1720123291
31,93686.06074523926
32,214906.3874053955
33,319426.59829711914
34,304255.56607055664
35,234147.94774627686
36,170373.6211013794
37,182825.07400512695
38,170886.6519317627
39,165221.3059616089
40,189019.18031311035
41,137014.7808380127
42,294901.36238098145
43,240977.4931488037
44,231362.31856536865
45,188534.0048675537
46,234296.49578857422
47,200236.22579193115
48,159630.16248321533
49,154473.7529144287
50,164083.98946380615
51,177056.73184204102
52,141754.3242340088
53,160865.37017059326
54,204226.961479187
55,162748.41291046143
56,178870.68592071533
57,110542.02152252197
58,212230.82745361328
59,132257.83596038818
60,133414.14483642578
61,186197.99475097656
62,99906.88822174072
63,110698.85953521729
64,109766.832862854
65,100700.77444458008
66,101995.16394805908
67,120866.70304107666
68,155694.55590057373
69,205727.5115966797
70,147252.6022415161
71,99804.81242370605
72,163976.34243011475
73,120203.67748260498
74,157524.80519866943
75,113474.90026855469
76,52185.90672302246
77,167035.3924331665
78,198861.69634246826
79,121959.33427429199
80,141753.8048400879
81,146878.0422821045
82,194084.14296722412
83,88274.94304656982
84,112750.10989379883
85,158371.5658569336
86,156350.3159942627
87,139038.2108001709
88,122878.98307800293
89,154977.89373016357
90,108739.66757202148
91,146878.8592376709
92,173669.55446624756
93,103155.15538024902
94,171838.42262268066
95,68316.15068817139
96,107250.39065551758
97,79337.27237701416
98,92743.96937561035
99,144257.93579101562
100,121660.32035064697
101,135123.2582244873
102,124596.18647766113
103,152867.24912261963
104,150213.00953674316
105,253542.94046783447
106,55637.71276092529
107,245542.16507720947
108,123843.8132019043
109,132970.19873046875
110,109636.27228546143
111,133640.11711883545
112,266446.0814743042
113,138747.54440307617
114,252825.7681503296
115,244045.83612060547
116,185481.01244354248
117,126701.64164733887
118,145771.01248931885
119,187540.31587219238
120,161807.71546936035
121,124367.36909484863
122,273858.5439300537
123,214951.42121887207
124,140797.46516418457
125,38118.24437713623
126,97143.19638061523
127,171453.77062225342
128,95892.49195098877
129,114741.25485229492
130,95984.8219909668
131,114550.75968933105
132,132105.80911254883
133,122316.71797943115
134,121802.7720413208
135,225773.3406677246
136,210561.7477798462
137,229313.68870544434
138,191176.42095947266
139,173260.0601425171
140,55564.936294555664
141,123211.8284072876
142,84166.0973815918
143,286154.2466430664
144,232906.94805908203
145,154161.4560546875
146,153343.6775970459
147,217022.4927368164
148,196263.98083496094
149,163244.05127716064
150,149209.56203460693
151,188424.27654266357
152,161088.80241394043
153,145811.04691314697
154,88364.89931488037
155,68160.88107299805
156,72958.58814239502
157,117368.44109344482
158,151468.6646347046
159,160030.05017089844
160,141886.91138458252
161,141914.4559020996
162,271267.6927947998
163,233492.67867279053
164,100301.83512115479
165,173507.94595336914
166,185397.9456100464
167,276572.8282318115
168,185994.574508667
169,324602.10287475586
170,240959.84662628174
171,256148.0622253418
172,189635.93949127197
173,190044.23811340332
174,177660.32034301758
175,146925.53450012207
176,187382.9631652832
177,189997.4555053711
178,177013.24994659424
179,246232.2661819458
180,179682.26012420654
181,261258.99143981934
182,219387.52603149414
183,239715.5237045288
184,200460.21278381348
185,162597.40412139893
186,146613.94177246094
187,124045.77611541748
188,139004.11623382568
189,106368.61199951172
190,104862.46101379395
191,85939.12202453613
192,83139.34145355225
193,143645.82321166992
194,112188.54275512695
195,142105.29163360596
196,152420.13898468018
197,158776.6573638916
198,81220.8360824585
199,159017.98460388184
200,383634.5470428467
201,345645.04864501953
202,354649.63509368896
203,412550.18740844727
204,306185.4644012451
205,341055.19512176514
206,354970.4932632446
207,342140.98069763184
208,312988.720123291
209,348872.43410491943
210,293612.68534851074
211,356215.5245895386
212,300123.80181884766
213,258525.8342819214
