,SalePrice
0,130716.6875
1,172563.140625
2,174640.546875
3,176753.46875
4,186377.015625
5,173005.03125
6,176637.6875
7,156523.328125
8,177888.15625
9,118936.1484375
10,189044.015625
11,100371.28125
12,86876.4609375
13,164432.640625
14,127489.0625
15,362658.96875
16,257632.40625
17,324353.3125
18,273800.21875
19,495840.375
20,352936.625
21,211130.671875
22,167216.09375
23,166029.078125
24,180474.421875
25,195951.1875
26,338563.40625
27,235473.765625
28,199409.640625
29,239730.96875
30,183315.421875
31,104074.328125
32,209861.765625
33,302398.84375
34,286958.8125
35,255058.921875
36,171024.484375
37,167902.5
38,156181.421875
39,147305.15625
40,164456.953125
41,150026.765625
42,306470.53125
43,227024.140625
44,219525.015625
45,206487.65625
46,233413.71875
47,206840.171875
48,162119.171875
49,142862.703125
50,150066.703125
51,177731.046875
52,156782.125
53,164429.46875
54,188241.625
55,153657.453125
56,156744.546875
57,142585.46875
58,234374.09375
59,135146.90625
60,137975.9375
61,168758.28125
62,119005.6171875
63,115683.78125
64,126889.7578125
65,117605.5859375
66,114094.5859375
67,143100.109375
68,157162.859375
69,197913.796875
70,118611.8984375
71,103526.203125
72,146872.5
73,124734.953125
74,152109.515625
75,105270.640625
76,76157.0546875
77,178777.921875
78,226245.625
79,76310.0078125
80,147563.828125
81,128882.2578125
82,228021.40625
83,87538.4921875
84,114140.703125
85,129229.4375
86,152780.046875
87,149377.328125
88,124462.09375
89,146542.609375
90,110042.84375
91,125450.0234375
92,166657.84375
93,103532.4609375
94,157311.9375
95,97316.4140625
96,128357.015625
97,109702.5546875
98,62840.17578125
99,133075.15625
100,124773.90625
101,123669.7578125
102,122365.78125
103,163396.84375
104,144931.21875
105,254254.53125
106,67248.3125
107,205121.15625
108,132599.796875
109,133435.234375
110,127500.4140625
111,149104.65625
112,280356.15625
113,120495.875
114,222878.671875
115,220609.984375
116,190400.390625
117,164783.140625
118,135765.90625
119,189020.734375
120,162612.671875
121,120254.4921875
122,301454.53125
123,230332.03125
124,143501.5625
125,78026.46875
126,102471.890625
127,153489.875
128,105486.359375
129,137481.546875
130,101671.5234375
131,148150.9375
132,137083.78125
133,145555.78125
134,112205.953125
135,260471.140625
136,185163.4375
137,192866.3125
138,199378.953125
139,178880.96875
140,79760.4609375
141,126567.5546875
142,90349.8984375
143,284238.46875
144,212366.625
145,172641.03125
146,212307.015625
147,216383.5
148,188670.515625
149,135936.765625
150,134612.0625
151,178724.25
152,150054.109375
153,119913.7734375
154,83297.546875
155,55410.69140625
156,78929.3046875
157,129323.1484375
158,142587.796875
159,156582.984375
160,134113.296875
161,145061.546875
162,291752.5
163,202848.5
164,127902.7890625
165,161899.71875
166,171777.0
167,284046.15625
168,185810.1875
169,426155.6875
170,226652.90625
171,255665.921875
172,169078.421875
173,178394.109375
174,183162.765625
175,137574.5
176,178833.734375
177,196983.25
178,187419.890625
179,255670.015625
180,176878.015625
181,211400.046875
182,206374.125
183,232269.53125
184,183849.8125
185,153445.90625
186,162248.640625
187,122164.9765625
188,137746.34375
189,118877.390625
190,113795.8125
191,98178.0390625
192,100889.609375
193,158747.875
194,152991.5625
195,149769.03125
196,147911.109375
197,147198.671875
198,130606.4375
199,158840.1875
200,529017.8125
201,433219.53125
202,379699.25
203,429111.15625
204,328761.8125
205,319706.1875
206,367389.03125
207,349688.625
208,318821.125
209,359641.375
210,273347.78125
211,494808.78125
212,309049.21875
213,239755.96875
214,180229.203125
215,180641.15625
216,218720.296875
217,407543.15625
218,392237.0625
219,321920.53125
220,259538.40625
221,293159.1875
222,179147.515625
223,164924.890625
224,174711.25
225,170921.84375
226,169824.046875
227,186879.78125
228,176229.109375
229,182600.703125
230,181468.28125
231,266180.125
232,162456.1875
233,174142.40625
234,164723.71875
235,265022.03125
236,174752.03125
237,379600.4375
238,345459.46875
239,242305.34375
240,257113.609375
241,256204.59375
242,237495.03125
243,288821.4375
244,249925.953125
245,433101.5
246,226480.953125
247,203016.328125
248,294219.03125
249,217563.859375
250,243403.78125
251,255070.640625
252,269011.09375
253,223602.640625
254,196314.46875
255,186021.1875
256,169543.21875
257,128343.6328125
258,210958.953125
259,253099.0
260,168604.0625
261,134625.09375
262,151159.65625
263,210772.703125
264,231265.703125
265,199001.984375
266,153418.390625
267,182122.84375
268,161921.640625
269,162467.078125
270,129604.0703125
271,126882.125
272,125173.0078125
273,127210.1640625
274,139867.34375
275,121105.546875
276,336767.0
277,234951.390625
278,329337.96875
279,218122.25
280,182691.40625
281,175212.6875
282,170491.65625
283,348634.0625
284,228257.5
285,209037.9375
286,226427.734375
287,234652.953125
288,160670.59375
